datetime,close,high,low,open,volume,adj close,
14/01/14,176.600006,48.79999924,47.50999832,48.77714157,19740000,48.27999878,
12/02/14,163.5,48.36714172,45.58142853,47.8571434,40432000,47.19714355,
19/03/14,168.179993,47.69571304,46.00285721,46.91571426,21135800,47.38285828,
02/04/14,167.270004,47.83142853,46.8914299,47.43857193,16417100,47.14857101,
19/05/14,157.669998,47.49571228,45.75,47.4614296,25220300,46.95857239,
03/06/14,161.800003,47.77714157,46.76428604,47.07143021,48342000,47.67571259,
18/07/14,171.470001,56.51856995,53.9271431,55.34285736,91280000,55.53142929,
13/08/14,172.369995,55.81428528,54.76856995,54.81142807,35466900,55.15428543,
09/09/14,177.399994,55.92856979,52.93714142,55.34143066,32526900,54.4614296,
01/10/14,180.699997,58.20142746,54.39428711,54.47428513,43590400,58.11000061,
03/11/14,190.830002,58.19142914,56.86428452,57.58856964,28968100,57.20285797,
04/12/14,191.949997,58.45571518,57.3585701,58.15714264,18379200,57.81000137,
07/01/15,187.279999,58.91428757,57.47142792,57.47285843,23625000,58.47571564,
04/02/15,178.779999,58.87857056,57.24571228,58.84285736,20145300,57.76856995,
16/03/15,191.899994,58.36142731,56.7157135,57.92142868,18066300,57.98714447,
15/04/15,201.100006,58.25,56.8571434,57.59285736,16762900,57.77428436,
12/05/15,200.529999,58.70142746,57.20285797,58.06000137,12852000,58.27285767,
15/06/15,211.759995,61.5,58.65142822,59.06285858,32921000,61.42571259,
08/07/15,204.059998,61.76714325,60.61142731,61.34714127,13812400,61.49142838,
24/08/15,179.460007,62.25143051,60.78714371,61.42285538,13667500,61.99856949,
23/09/15,179.410004,62.12857056,60.79142761,62.11142731,15673000,61.27571487,
12/10/15,180.229996,62.7842865,60.7142868,60.81285858,18700500,62.36428452,
06/11/15,199.169998,62.52857208,61.66999817,62.43714142,11985400,62.2157135,
09/12/15,180.710007,63.0342865,61.1428566,62.42285538,15507800,62.40714264,
15/01/16,155.610001,62.32143021,61.13857269,61.66714478,16031400,61.17571259,
19/02/16,146.910004,62.5385704,61.30857086,61.47857285,11965100,62.13571548,
11/03/16,153.940002,62.67142868,61.37857056,62.67142868,13483400,61.74714279,
04/04/16,157.770004,64.24143219,61.2142868,62.20999908,26043500,63.8571434,
06/05/16,158.850006,65.3985672,63.57143021,64.2857132,18700500,64.71857452,
06/06/16,157.059998,65.14286041,63.7142868,65.12857056,15010100,64.112854,
08/07/16,150.380005,64.87571716,63.97714233,63.97714233,10304700,64.60428619,
05/08/16,162.089996,64.88571167,63,64.73285675,15751400,63.66143036,
13/09/16,167,63.67856979,62.58571243,63.02714157,13528200,63.65571213,
07/10/16,169.830002,65,63.65571213,64.41714478,12387900,64.99714661,
11/11/16,203.940002,65.26285553,64.55857086,64.85571289,10868900,64.7857132,
08/12/16,241.449997,65.42857361,64.14142609,64.99143219,11809000,64.35857391,
05/01/17,241.320007,64.93428802,63.64428711,64.86714172,11573800,64.05285645,
01/02/17,230.669998,64.11142731,61.72857285,64.0671463,15439200,62.84999847,
17/03/17,243.940002,63.81142807,62.23571396,63.23428726,10448200,62.49714279,
07/04/17,227.880005,62.7857132,61.38285828,61.95428467,12134500,62.36857224,
11/05/17,224.759995,62.89714432,61.18285751,62.81571579,11390400,61.43714142,
02/06/17,213.309998,62.1414299,60.42856979,61.10428619,14989100,60.6414299,
14/07/17,228.600006,61.54285812,60.33000183,61.16999817,10695300,60.38857269,
04/08/17,229.789993,60.89428711,59.5,60.33856964,14688100,60.0357132,
20/09/17,229.789993,60.77857208,59.58000183,59.98143005,10531500,60.01285553,
16/10/17,242.410004,61.74285889,59.92856979,59.95285797,14494900,60.61000061,
10/11/17,240.149994,61.19142914,57.96285629,60.87142944,26770800,57.99856949,
14/12/17,255.479996,58.06428528,52.65714264,57.9271431,42483700,54.12857056,
16/01/18,258.459991,54.99000168,52.25,54.1428566,30356900,52.97714233,
12/02/18,253.160004,53.92142868,52.36714172,53.28714371,27152300,53.18285751,
12/03/18,273.380005,53.97571564,51.64714432,53.00143051,28672000,52.02571487,
11/04/18,252.940002,52.7142868,50.82143021,51.45999908,24699500,51.26714325,
08/05/18,237,52.40856934,49.98285675,51.64428711,22125600,50.29000092,
18/06/18,231.389999,52.17856979,50.24856949,50.25,21338800,52.09857178,
13/07/18,226.410004,53.00714111,51.18571472,52.23714447,24194100,51.84000015,
10/08/18,229.610001,52.15714264,50.01428604,51.61857224,21983500,50.66999817,
11/09/18,230.210007,50.8571434,47.98285675,50.77857208,34958000,48.18714142,
08/10/18,225.350006,49.74142838,47.30142975,48.64428711,37351300,48.2857132,
15/11/18,203.740005,50.11285782,48.34143066,48.57857132,25761400,49.84143066,
06/12/18,184.089996,50.55714417,49.02142715,50.14714432,20511400,50.43285751,
30/01/19,202.479996,51.06856918,47.7157135,50.63999939,24871000,47.81856918,
25/02/19,198.649994,47.83142853,46.22999954,47.25714111,30146200,46.67285538,
18/03/19,202.470001,47.8571434,46.50571442,47.55571365,17994200,47.36857224,
15/04/19,199.910004,47.36714172,44.58571243,47.01142883,30799300,46.61000061,
07/05/19,202.630005,47.70999908,46.19428635,47.29285812,16114700,47.34428787,
